F1-Score,Feature
,dslf_fa13
,entropy
117445.32515116449,nres_helix
108169.85326971815,hbond_sr_bb
89893.97830220386,lk_ball_iso
87075.8752206854,lk_ball
76782.82353956027,fa_sol
73205.56489204793,fa_atr
68806.68697792495,frac_helix
67571.08391317823,fa_atr_per_res
62749.25737170719,frac_sheet
59626.37330691958,bb
50676.82017787713,holes
50670.391422878776,hbond_lr_bb_per_sheet
50522.966893500154,net_atr_per_res
37164.54247015561,nres_sheet
36542.09218435132,hbond_lr_bb
32963.52457015377,fa_elec
30290.253470837997,two_core_each
28673.374693732607,buried_np
28030.22162363504,degree
27597.230847162995,rama_prepro
27417.48406574269,frac_loop
26407.661856693645,Tend_absq
26296.860503949825,buried_minus_exposed
25315.971277696917,fa_rep
25056.04703380974,hbond_sr_bb_per_helix
24467.852893821433,nres
24467.852893821433,n_res
24049.454568464083,fa_intra_atr_xover4
22743.54297209925,net_sol_per_res
22374.21329368239,Tminus1_absq
21651.969536109642,contig_not_hp_avg_norm
21590.59548999987,exposed_hydrophobics
19523.294034680774,T1_absq
18474.663406912383,mismatch_probability
17295.645061317882,fxn_exposed_is_np
17289.03228707217,abego_res_profile
17081.54458728123,n_hydrophobic
16791.560061821445,buried_np_AFILMVWY
16438.55682579389,fa_dun_rot
16370.987669806413,avg_all_frags
15972.11726345765,loop_sc
14813.5526307161,n_charged
13803.668005237487,total_score
13283.191643903081,AlaCount
13063.1602320378,one_core_each
12858.896445009663,ref
12606.301159470418,tryp_cut_sites
12438.023859300343,exposed_total
11761.217309633412,fa_intra_sol_xover4
11280.333781489562,fa_dun_dev
9165.923221819956,res_count_core_SASA
8844.061989535192,n_hydrophobic_noA
8327.386560694804,res_count_core_SCN
7590.269976871206,hbond_bb_sc
7507.0867069836,fa_intra_rep_xover4
7227.156511871015,chymo_with_LM_cut_sites
6030.092464848142,exposed_np_AFILMVWY
6026.24913566058,contact_core_SCN
6026.24913566058,contact_core_SASA
6026.24913566058,contact_all
5594.054055039614,Tend_netq
5148.280613704291,buried_np_per_res
4654.20447356751,nres_loop
4369.5188722743205,avg_best_frag
4356.717113443845,p_aa_pp
4337.823704833444,pro_close
4116.9295591796945,largest_hphob_cluster
3846.2185863513096,ss_sc
3750.0544194781587,score_per_res
3722.7789717669607,T1_netq
3692.193448442958,fa_dun_semi
3456.9754199923104,percent_core_SASA
3453.6474766157526,fa_rep_per_res
3031.558941341314,buns_bb_heavy
3030.457179097425,nearest_chymo_cut_to_Nterm
2829.418232067214,Tminus1_netq
2741.88109445794,ss_contributes_core
2738.832960135293,buns_nonheavy
2691.5064382535575,contig_not_hp_avg
2663.211510467684,n_hphob_clusters
2499.0059866118454,exposed_polars
1842.2762824176673,hphob_sc_contacts
1780.8120356959196,percent_core_SCN
1522.020667676357,buried_np_AFILMVWY_per_res
1217.660705194192,nearest_chymo_cut_to_term
1171.712577896626,hbond_sc
921.127393561466,buried_over_exposed
869.3507756328235,nearest_chymo_cut_to_Cterm
740.9598999501164,n_polar_core
730.2854021827676,nearest_tryp_cut_to_Nterm
571.1313136252979,fa_intra_elec
545.2532898014354,omega
538.3107534913124,hphob_sc_degree
503.16598676199305,hxl_tors
498.66299177352323,netcharge
490.1502372062953,net_atr_net_sol_per_res
422.0529155601778,hydrophobicity
382.59545846280724,nearest_tryp_cut_to_Cterm
341.78422747146243,pack
306.44475797124403,worstfrag
252.7212505554323,lk_ball_bridge
219.85000521170508,chymo_cut_sites
154.020397910808,helix_sc
146.07078355551027,contig_not_hp_internal_max
136.94911785500398,contig_not_hp_max
109.17869416191967,buns_sc_heavy
85.3472423796352,worst6frags
38.05207445728826,sum_best_frags
10.583056627963618,nearest_tryp_cut_to_term
3.640213466742458,lk_ball_bridge_uncpl
0.027891511250641047,abego_res_profile_penalty
