Feature,KS,is_rosetta,topology,P-value
n_hydrophobic_noA,0.7063366487789224,True,EEHEE,2.6137532209460513e-223
total_score,0.7052079496583888,True,EEHEE,1.3459069140594472e-222
contig_not_hp_avg,0.6950326122158891,True,EEHEE,3.1198419349608936e-216
score_per_res,0.6947131970347007,True,EEHEE,4.925418870127914e-216
net_atr_net_sol_per_res,0.6831256887621439,True,EEHEE,6.682986540077277e-209
exposed_np_AFILMVWY,0.663757345252238,True,EEHEE,3.0132306658830555e-197
buried_np_AFILMVWY,0.6600522032607028,True,EEHEE,4.680034284501371e-195
largest_hphob_cluster,0.6535846016685182,True,EEHEE,2.922729302096947e-191
fa_atr,0.6472759665644192,True,EEHEE,1.3552844743047616e-187
exposed_hydrophobics,0.6371543590537899,True,EEHEE,8.707133623975127e-182
buried_np_AFILMVWY_per_res,0.6358474247799482,True,EEHEE,4.820920789372432e-181
net_atr_per_res,0.6255475821160107,True,EEHEE,3.070814694402883e-175
contig_not_hp_avg_norm,0.621270308987869,True,EEHEE,7.408154360344711e-173
hphob_sc_contacts,0.6131355973026833,True,EEHEE,2.2681254572453363e-168
n_hydrophobic,0.6052313684976592,True,EEHEE,4.5486934078753435e-164
buried_np_AFILMVWY_per_res,0.5987427365321316,True,EHEE,9.27759079238049e-170
buried_np_AFILMVWY,0.5987427365321316,True,EHEE,9.27759079238049e-170
contact_core_SCN,0.595375446236348,True,EEHEE,8.794305490105798e-159
contact_core_SASA,0.595375446236348,True,EEHEE,8.794305490105798e-159
contact_all,0.595375446236348,True,EEHEE,8.794305490105798e-159
buried_np,0.5922179789986372,True,EEHEE,4.162765867641811e-157
n_hydrophobic_noA,0.5795257974122798,True,EHEE,4.599274127715565e-159
frac_helix,0.5766996630206893,True,EEHEE,5.285473810041135e-149
nres_helix,0.5766996630206893,True,EEHEE,5.285473810041135e-149
fa_atr_per_res,0.5764250845412686,True,EEHEE,7.32035645345004e-149
n_hydrophobic,0.5754427231275625,True,EHEE,7.766068852098776e-157
net_atr_net_sol_per_res,0.5745217848074635,True,HHH,3.219646771412954e-15
n_res,0.5724494401341099,True,EEHEE,8.03572612531995e-147
nres,0.5724494401341099,True,EEHEE,8.03572612531995e-147
exposed_np_AFILMVWY,0.5691250220749847,True,EHEE,2.02195371235521e-153
net_atr_net_sol_per_res,0.5662212307096549,True,EHEE,7.2948116801346135e-152
hydrophobicity,0.5653972752553783,True,EHEE,2.0110989042738436e-151
frac_sheet,0.5634372630787918,True,EEHEE,3.0075978844547246e-142
total_score,0.5574605804077647,True,HHH,3.219646771412954e-15
score_per_res,0.5567176383572446,True,HHH,3.219646771412954e-15
hbond_sr_bb,0.5565476036079835,True,EEHEE,8.421839400707772e-139
total_score,0.5526618708097424,True,EHEE,1.0694840856683786e-144
score_per_res,0.5522613295204781,True,EHEE,1.7306944108196454e-144
contig_not_hp_avg,0.5466260912489441,True,EHEE,1.4562481740518417e-141
fxn_exposed_is_np,0.5427245596183619,True,EEHEE,5.173107229171629e-132
p_aa_pp,0.5403993504977616,True,EEHEE,6.900202254085065e-131
hphob_sc_contacts,0.5394612710858597,True,HHH,3.219646771412954e-15
net_sol_per_res,0.5355831532762885,True,HHH,3.219646771412954e-15
n_hydrophobic_noA,0.5334965644718893,True,HHH,3.219646771412954e-15
largest_hphob_cluster,0.529813609534004,True,HHH,3.219646771412954e-15
p_aa_pp,0.5207728265980693,True,EHEE,1.5777824131183901e-128
avg_best_frag,0.5204833322340313,True,EEHEE,1.8959929655285701e-121
contig_not_hp_avg,0.5183744189769761,True,HHH,3.219646771412954e-15
hydrophobicity,0.5182555780933062,True,EEHEE,2.0493582570016654e-120
rama_prepro,0.5172498718055103,True,EHEE,8.421354529077207e-127
buried_np_AFILMVWY,0.5146444926360748,True,HHH,3.219646771412954e-15
buried_np_AFILMVWY_per_res,0.5146444926360748,True,HHH,3.219646771412954e-15
chymo_with_LM_cut_sites,0.5144274130853506,True,EEHEE,1.1959335785472192e-118
avg_all_frags,0.5135477244076924,True,EEHEE,3.031749366591065e-118
nres_sheet,0.511820214460244,True,EEHEE,1.875076324532841e-117
largest_hphob_cluster,0.502816555281081,True,EHEE,7.581279146229696e-120
ref,0.4982962367204339,True,EHEE,1.0406016918360618e-117
fa_dun_dev,0.49381735232235585,True,EEHEE,2.2959393680935357e-109
fa_sol,0.4918237448110488,True,EHEE,1.1075184497038675e-114
buried_np_per_res,0.49157959329776535,True,EEHEE,2.218495341375138e-108
hphob_sc_degree,0.4911753303545084,True,HHH,3.219646771412954e-15
lk_ball,0.48741779062914237,True,EHEE,1.2086366589881688e-112
net_sol_per_res,0.48540604141799065,True,EHEE,1.0155903672065578e-111
exposed_hydrophobics,0.4849874145990651,True,EHEE,1.5797996862346568e-111
hydrophobicity,0.4839629044998604,True,HHH,3.219646771412954e-15
buried_np_per_res,0.4737855566832415,True,EHEE,1.8691492562407565e-106
buried_np,0.4737855566832415,True,EHEE,1.8691492562407565e-106
hphob_sc_contacts,0.4697306745477022,True,EHEE,1.1988847183954972e-104
worst6frags,0.46854686843429494,True,EEHEE,1.6804140870797377e-98
sum_best_frags,0.46629614011580467,True,EEHEE,1.4634982406341549e-97
omega,0.46438520729748817,True,EEHEE,9.118132385845658e-97
AlaCount,0.4588543740961313,True,HHH,3.219646771412954e-15
fa_dun_dev,0.4556933971438741,True,HHH,3.219646771412954e-15
contig_not_hp_max,0.43749763773575395,True,EEHEE,6.2101570131690494e-86
contig_not_hp_internal_max,0.43364242248623586,True,EEHEE,1.965391571014684e-84
contig_not_hp_max,0.430095967207345,True,HHH,3.219646771412954e-15
