Feature,KS,is_rosetta,topology,P-value
SumE_entropies,0.39069367935903526,False,EEHEE,1.2880281830311696e-68
Mean_E_entropy,0.3523542232838104,False,EEHEE,6.865644047097159e-56
SumH_entropies,0.3263129927868493,False,EEHEE,5.395933102175521e-48
Mean_H_entropy,0.2990867393787041,False,EEHEE,2.1819300317753546e-40
S_PC,0.29643520129561685,False,HHH,3.219646771412954e-15
Mean_res_entropy,0.29643520129561685,False,HHH,3.219646771412954e-15
Mean_H_entropy,0.2860705250548417,False,EHEE,4.4233231113689706e-39
SumH_entropies,0.2752872939579437,False,EHEE,3.198845090896973e-36
E_max_entropy,0.2608854989213253,False,EEHEE,7.8585421110792175e-31
H_min_entropy,0.24884523121176957,False,HHH,3.219646771412954e-15
SumH_entropies,0.2373590692517257,False,HHH,3.219646771412954e-15
Mean_H_entropy,0.235466981749956,False,HHH,3.219646771412954e-15
E_range_entropy,0.23197175510119383,False,EEHEE,1.826183062983322e-24
SumL_entropies,0.23168876086792567,False,HHH,3.219646771412954e-15
E_min_entropy,0.2067283214546953,False,EEHEE,1.6176208667517194e-19
H_max_entropy,0.20484468785439658,False,EHEE,3.0244597952002e-20
H_max_entropy,0.20391435522970103,False,EEHEE,5.310072062327448e-19
H_range_entropy,0.20027018480270026,False,HHH,3.219646771412954e-15
SumE_entropies,0.19935094225609534,False,EHEE,3.38470239501616e-19
L_range_entropy,0.19361144622533719,False,EHEE,3.9342172486349585e-18
L_min_entropy,0.19326090610631314,False,EHEE,4.559482473455159e-18
Mean_E_entropy,0.18997891440012427,False,EHEE,1.7907329594879725e-17
H_min_entropy,0.18981454885114332,False,EHEE,1.9165368266481452e-17
H_max_entropy,0.18891890610929427,False,HEEH,0.0004808333643292473
L_max_entropy,0.18454421273689384,False,EHEE,1.6385483472313288e-16
L_max_entropy,0.17169158870885862,False,EEHEE,1.3552644653624078e-13
L_range_entropy,0.16306293220171922,False,EEHEE,2.6449943097209265e-12
SumL_entropies,0.1603122626274232,False,EHEE,1.1326495297225847e-12
L_min_entropy,0.15966942381503268,False,EEHEE,8.160039610085552e-12
Mean_res_entropy,0.15871914023519698,False,EHEE,1.979527652906654e-12
S_PC,0.15799997446748754,False,EHEE,2.5424107263916085e-12
L_min_entropy,0.14325285566283266,False,HHH,1.9985790800092218e-11
H_range_entropy,0.14123190505587543,False,EEHEE,2.4555575034443203e-09
SumL_entropies,0.1332922571369891,False,HEEH,0.03126107303729375
H_range_entropy,0.12966899225301018,False,EHEE,1.9633234260574284e-08
H_min_entropy,0.12825297682350126,False,EEHEE,8.967667346017265e-08
Mean_L_entropy,0.12517018863980078,False,HHH,7.99822263974903e-09
H_range_entropy,0.12487163688642432,False,HEEH,0.0518090430546424
Mean_L_entropy,0.1181730571749056,False,HEEH,0.07562835540085189
Mean_res_entropy,0.10489601961253679,False,EEHEE,2.429239435913151e-05
L_range_entropy,0.09869346098551274,False,HEEH,0.20167845296027465
Mean_L_entropy,0.09357559432242031,False,EHEE,0.00013429510148321722
E_max_entropy,0.09302398566774966,False,EHEE,0.00015034022526416724
E_range_entropy,0.09202647834810497,False,HEEH,0.27068109130367024
E_range_entropy,0.09057605603535401,False,EHEE,0.00024587323129821037
L_min_entropy,0.08412720982037063,False,HEEH,0.3726777085869618
SumE_entropies,0.08245256489249096,False,HEEH,0.39713045383084755
L_max_entropy,0.07121980504605274,False,HEEH,0.5827255695652785
Mean_res_entropy,0.0682654786166801,False,HEEH,0.635730797463173
S_PC,0.068060097634959,False,HEEH,0.6394377129573836
SumH_entropies,0.06638545270707932,False,HEEH,0.6696780943693477
SumL_entropies,0.0652459237509273,False,EEHEE,0.0238544138019553
L_range_entropy,0.06445601161186008,False,HHH,0.011653148596074137
S_PC,0.06432917994784121,False,EEHEE,0.026975887621910943
E_max_entropy,0.06395247800053715,False,HEEH,0.7133385034884742
Mean_L_entropy,0.05958612389307077,False,EEHEE,0.049586599501830975
Mean_H_entropy,0.059070730050397334,False,HEEH,0.7974696066347887
H_min_entropy,0.05731709243724031,False,HEEH,0.8256477193846599
E_min_entropy,0.05368317130826466,False,EHEE,0.0834284033602758
E_min_entropy,0.052514337172377835,False,HEEH,0.8940855534317729
Mean_E_entropy,0.05053952004044426,False,HEEH,0.9176074997550926
L_max_entropy,0.047847982015906766,False,HHH,0.11620020153765354
H_max_entropy,0.04718310511406112,False,HHH,0.12561776596314989
Mean_E_entropy,0.0,False,HHH,1.0
SumE_entropies,0.0,False,HHH,1.0
E_max_entropy,0.0,False,HHH,1.0
E_min_entropy,0.0,False,HHH,1.0
E_range_entropy,0.0,False,HHH,1.0
